,area_type,location,size,total_sqft,bath,balcony,price
893,Built-up,Ramamurthy Nagar,2 BHK,1050.0,2.0,0.0,3048.8
894,Super,Ferrar Nagar,2 BHK,1180.0,2.0,1.0,5685.6
895,Super,Whitefield,2 BHK,1116.0,2.0,3.0,4277.384
896,Super,7th Phase JP Nagar,2 BHK,1070.0,2.0,1.0,3525.896
897,Super,Varthur,2 BHK,1385.0,2.0,3.0,6592.0
898,Plot,Varthur,1 Bedroom,1000.0,1.0,1.0,5768.0
899,Built-up,Whitefield,3 BHK,1897.0,3.0,2.0,10712.0
900,Super,Magadi Road,2 BHK,1005.0,2.0,1.0,4596.272000000001
901,Super,Green Glen Layout,3 BHK,1575.0,3.0,2.0,10300.0
902,Super,Subramanyapura,2 BHK,975.0,2.0,1.0,5356.0
903,Super,Hennur Road,3 BHK,1904.0,3.0,2.0,9888.0
904,Super,Kengeri Satellite Town,1 BHK,930.0,1.0,1.0,2472.0
905,Super,Kanakpura Road,1 BHK,525.0,1.0,1.0,2142.4
906,Super,BAGUR,1 BHK,686.0,1.0,1.0,1400.8000000000002
907,Plot,Electronic City Phase II,2 Bedroom,2400.0,3.0,1.0,12360.0
908,Plot,8th block Koramangala,2 Bedroom,1410.0,1.0,0.0,19199.2
909,Built-up,Sarjapur  Road,3 Bedroom,2238.0,3.0,1.0,11536.0
910,Super,Harlur,2 BHK,1174.0,2.0,1.0,5685.6
911,Built-up,Thubarahalli,4 Bedroom,3800.0,4.0,3.0,19693.600000000002
912,Super,Whitefield,3 BHK,2225.0,2.0,1.0,10300.0
913,Super,M.G Road,2 BHK,1250.0,2.0,0.0,16480.0
914,Super,Jigani,2 BHK,918.0,2.0,2.0,4284.8
915,Super,Mahadevpura,2 BHK,1250.0,2.0,3.0,4284.8
916,Super,Sarjapur  Road,3 BHK,1800.0,3.0,2.0,9064.0
917,Built-up,Marathahalli,2 BHK,1170.0,2.0,3.0,4367.200000000001
918,Super,Byatarayanapura,1 BHK,1300.0,1.0,0.0,16480.0
919,Built-up,Bannerghatta Road,2 BHK,793.0,2.0,1.0,3708.0000000000005
920,Super,Jakkur,3 BHK,1710.0,3.0,2.0,8816.800000000001
921,Super,Kambipura,3 BHK,1082.0,2.0,1.0,4738.0
922,Super,Naganathapura,2 BHK,1001.0,2.0,2.0,2721.6720000000005
923,Built-up,Srinivasa Nagar,4 Bedroom,1500.0,4.0,2.0,14832.000000000002
924,Super,Yelahanka,3 BHK,1590.0,2.0,1.0,4449.6
925,Super,Basavanagara,3 BHK,2400.0,2.0,0.0,6592.0
926,Super,Horamavu Banaswadi,3 BHK,1554.0,3.0,2.0,4532.0
928,Super,Bellandur,5 BHK,4239.0,5.0,2.0,34855.200000000004
929,Built-up,Konanakunte,2 Bedroom,884.0,1.0,0.0,4779.200000000001
930,Super,Hosa Road,2 BHK,1045.0,2.0,1.0,8148.536000000001
931,Super,Marathahalli,2 BHK,1019.0,2.0,2.0,4108.464
932,Super,Ambedkar Nagar,3 BHK,1935.0,4.0,2.0,10712.0
933,Super,Uttarahalli,3 BHK,1135.0,2.0,2.0,3273.752
934,Super,Lakshminarayana Pura,3 BHK,1680.0,3.0,2.0,12360.0
935,Super,Hebbal,4 BHK,2470.0,5.0,2.0,20352.800000000003
936,Super,1st Phase JP Nagar,4 BHK,2825.0,4.0,3.0,20600.0
937,Super,Hosakerehalli,3 BHK,2480.0,3.0,1.0,27192.000000000004
939,Plot,Ramamurthy Nagar,5 Bedroom,1800.0,4.0,3.0,15408.800000000001
940,Built-up,Kasavanhalli,3 BHK,1799.0,3.0,3.0,7416.000000000001
942,Built-up,Attibele,1 BHK,400.0,1.0,1.0,906.4000000000001
943,Built-up,Kundalahalli,2 BHK,1047.0,2.0,1.0,6756.8
944,Super,Kaverappa Layout,2 BHK,1282.0,2.0,2.0,7168.8
945,Super,NGR Layout,2 BHK,1020.0,2.0,1.0,3782.1600000000003
946,Plot,Kammanahalli,4 Bedroom,1080.0,3.0,1.0,12772.0
947,Super,Whitefield,2 BHK,1495.0,2.0,1.0,6550.8
948,Built-up,Kasavanhalli,4 Bedroom,3260.0,4.0,1.0,19776.0
949,Super,Divya Unnathi Layout,3 BHK,1611.0,2.0,2.0,5309.856
950,Super,Koramangala,4 BHK,3500.0,5.0,2.0,35020.0
951,Built-up,Vasantha Vallabha Nagar,3 Bedroom,1500.0,2.0,2.0,7828.000000000001
952,Super,Sahakara Nagar,3 BHK,1500.0,2.0,2.0,7828.000000000001
953,Plot,Yelahanka,4 Bedroom,3206.0,5.0,2.0,22248.0
954,Super,Uttarahalli,3 BHK,1540.0,3.0,0.0,4120.0
955,Super,Hosa Road,3 BHK,1639.0,3.0,1.0,6592.0
956,Plot,Marathahalli,4 Bedroom,700.0,4.0,2.0,5932.8
957,Super,Raja Rajeshwari Nagar,2 BHK,1303.0,2.0,2.0,4597.0960000000005
958,Super,Koramangala,2 BHK,1005.0,1.0,1.0,9064.0
960,Super,Chandapura,3 BHK,1305.0,3.0,1.0,2742.2720000000004
961,Plot,Kothannur,3 Bedroom,600.0,4.0,0.0,7828.000000000001
962,Super,sapthagiri Layout,2 BHK,1300.0,1.0,1.0,9476.0
963,Super,Brookefield,3 BHK,1440.0,2.0,3.0,5603.200000000001
964,Super,Seegehalli,2 BHK,901.0,2.0,1.0,2895.536
965,Super,Rajaji Nagar,3 BHK,1725.0,3.0,3.0,16480.0
966,Built-up,Sarjapur,3 BHK,900.0,2.0,1.0,3460.8
967,Super,BEML Layout,2 BHK,1060.0,2.0,1.0,4532.0
968,Super,NGR Layout,2 BHK,1020.0,2.0,1.0,3992.2800000000007
969,Super,Varthur,3 BHK,1535.0,3.0,2.0,5437.576
970,Built-up,Alur,1 BHK,530.0,1.0,1.0,1648.0
972,Super,Devarabisanahalli,2 BHK,1350.0,2.0,3.0,6592.0
973,Super,Sarjapur  Road,2 BHK,1115.0,2.0,2.0,4120.0
974,Super,Uttarahalli,2 BHK,1175.0,2.0,2.0,3872.8
975,Built-up,Whitefield,2 BHK,1113.0,2.0,1.0,5108.8
976,Plot,Uttarahalli,6 Bedroom,1200.0,4.0,2.0,18540.0
977,Plot,Ramamurthy Nagar,5 Bedroom,1640.0,4.0,3.0,19776.0
978,Built-up,Giri Nagar,2 BHK,650.0,2.0,0.0,3460.8
979,Super,Marathahalli,2 BHK,1325.0,2.0,2.0,5895.72
980,Built-up,Electronics City Phase 1,2 BHK,950.0,2.0,3.0,2554.4
981,Super,Jakkur,3 BHK,1396.0,2.0,1.0,7128.424000000001
982,Super,Rachenahalli,2 BHK,1050.0,2.0,2.0,4290.568
983,Super,Thanisandra,3 BHK,1825.0,3.0,2.0,8240.0
984,Super,7th Phase JP Nagar,2 BHK,1190.0,2.0,1.0,4118.352
985,Super,Marathahalli,2 BHK,1220.0,2.0,1.0,4655.6
986,Super,NRI Layout,3 BHK,1565.0,2.0,2.0,6180.0
987,Super,Hennur Road,3 BHK,1891.0,3.0,1.0,8981.6
988,Built-up,Sidedahalli,2 BHK,900.0,2.0,0.0,2224.8
989,Super,Hosa Road,2 BHK,1161.0,2.0,1.0,4544.360000000001
991,Plot,Dwarka Nagar,8 Bedroom,2400.0,6.0,3.0,10300.0
992,Plot,Rajaji Nagar,4 Bedroom,315.0,4.0,2.0,7416.000000000001
993,Super,Yeshwanthpur,1 BHK,665.0,1.0,1.0,3036.4400000000005
994,Super,Mysore Road,2 BHK,1175.0,2.0,1.0,6056.400000000001
995,Built-up,Hoodi,2 BHK,1425.0,2.0,2.0,6592.0
996,Plot,Chikkabanavar,1 Bedroom,1200.0,1.0,0.0,1648.0
997,Plot,ITPL,3 Bedroom,1200.0,3.0,1.0,4624.2880000000005
998,Built-up,Somasundara Palya,2 BHK,1255.0,2.0,2.0,5520.8
1000,Super,Raja Rajeshwari Nagar,1 BHK,600.0,1.0,1.0,1812.8000000000002
1001,Super,Haralur Road,3 BHK,1810.0,3.0,2.0,8240.0
1002,Super,Indira Nagar,2 BHK,1200.0,2.0,2.0,7663.200000000001
1003,Super,Harlur,2 BHK,1033.0,2.0,2.0,4037.6000000000004
1004,Super,ITPL,3 BHK,1548.0,3.0,2.0,7374.8
1005,Super,Horamavu Banaswadi,3 BHK,1611.0,3.0,3.0,5438.400000000001
1006,Built-up,Electronic City Phase II,3 BHK,1400.0,2.0,1.0,3331.4320000000002
1007,Super,Vidyaranyapura,3 BHK,1485.0,2.0,2.0,5520.8
1008,Built-up,Margondanahalli,2 Bedroom,2400.0,2.0,1.0,6756.8
1009,Super,Pattandur Agrahara,2 BHK,1025.0,2.0,1.0,3666.8
1010,Plot,Thurahalli,4 Bedroom,600.0,3.0,2.0,5356.0
1011,Super,Hallehalli,2 BHK,1225.0,2.0,2.0,4367.200000000001
1012,Built-up,5th Phase JP Nagar,2 BHK,1256.0,2.0,1.0,5174.72
1013,Super,Whitefield,4 BHK,2268.0,3.0,2.0,13431.2
1014,Super,Kanakpura Road,3 BHK,1100.0,3.0,2.0,4367.200000000001
1015,Super,Vadarpalya,2 BHK,1141.0,2.0,0.0,5108.8
1016,Built-up,Attibele,1 BHK,400.0,1.0,1.0,988.8000000000001
1017,Plot,Chandapura,2 Bedroom,1400.0,2.0,0.0,4944.0
1018,Super,Kattigenahalli,7 BHK,4100.0,7.0,2.0,11536.0
1021,Super,Raghavendra Nagar,2 BHK,1175.0,2.0,2.0,3977.4480000000003
1022,Super,Sahakara Nagar,2 BHK,1100.0,2.0,1.0,4614.400000000001
1023,Super,Kanakpura Road,3 BHK,1843.0,3.0,2.0,7897.216000000001
1024,Plot,1st Phase JP Nagar,8 Bedroom,1200.0,7.0,2.0,19776.0
1025,Super,Horamavu Banaswadi,2 BHK,1460.0,2.0,1.0,6633.200000000001
1026,Super,Rachenahalli,3 BHK,1530.0,2.0,2.0,6138.8
1027,Built-up,HSR Layout,2 BHK,1467.0,2.0,1.0,4532.0
1028,Super,KR Layout,1 BHK,950.0,1.0,1.0,3296.0
1029,Super,Vittasandra,2 BHK,1246.0,2.0,1.0,5314.8
1030,Super,Kanakapura,1 BHK,711.0,1.0,1.0,3131.2000000000003
1031,Super,Haralur Road,2 BHK,1194.0,2.0,2.0,3790.4
1032,Super,Babusapalaya,3 BHK,1358.0,2.0,1.0,3576.1600000000003
1033,Carpet,Nagasandra,6 Bedroom,1500.0,5.0,1.0,10712.0
1034,Super,Hoodi,2 BHK,1420.0,2.0,2.0,6180.0
1035,Super,Kathriguppe,3 BHK,1250.0,2.0,1.0,5665.0
1036,Built-up,Akshaya Nagar,2 BHK,1280.0,2.0,2.0,4779.200000000001
1037,Super,Nagappa Reddy Layout,2 BHK,1209.0,2.0,1.0,4120.0
1038,Built-up,Kempapura,5 Bedroom,4200.0,5.0,2.0,18540.0
1039,Plot,BTM 1st Stage,4 Bedroom,1215.0,4.0,3.0,16892.0
1040,Super,Panathur,3 BHK,1315.0,2.0,1.0,4515.52
1041,Super,Kariyammana Agrahara,3 BHK,1800.0,3.0,3.0,7416.000000000001
1042,Built-up,Hessarghatta,5 Bedroom,1600.0,4.0,0.0,10300.0
1043,Super,TC Palaya,3 BHK,1600.0,2.0,2.0,5356.0
1044,Plot,Binnamangala,6 Bedroom,3968.0,5.0,2.0,74160.0
1045,Super,Suraksha Nagar,3 BHK,1563.0,3.0,2.0,4284.8
1046,Super,Whitefield,3 BHK,1560.0,2.0,2.0,5932.8
1047,Super,Brookefield,3 BHK,2169.0,4.0,2.0,9476.0
1049,Super,Rachenahalli,2 BHK,1050.0,2.0,2.0,4573.200000000001
1050,Super,Iblur Village,3 BHK,3235.0,3.0,1.0,19364.0
1051,Plot,TC Palaya,3 Bedroom,1200.0,3.0,0.0,5438.400000000001
1052,Super,HSR Layout,2 BHK,1140.0,2.0,2.0,3790.4
1053,Plot,7th Phase JP Nagar,3 Bedroom,1500.0,3.0,1.0,14008.000000000002
1054,Super,Horamavu Agara,3 BHK,1560.0,3.0,2.0,6180.0
1055,Super,JP Nagar,2 BHK,1100.0,2.0,2.0,5768.0
1056,Super,Kasavanhalli,3 BHK,1260.0,2.0,3.0,3322.3680000000004
1057,Super,Hebbal,2 BHK,1036.0,2.0,1.0,4120.0
1058,Built-up,Akshaya Nagar,3 BHK,1662.0,3.0,3.0,7012.24
1059,Super,Yelachenahalli,3 BHK,1464.0,2.0,3.0,8652.0
1060,Super,Yelahanka,2 BHK,1234.0,2.0,2.0,6592.0
1061,Super,Sarjapur  Road,3 BHK,1403.0,3.0,1.0,4532.0
1062,Plot,Kadugondanahalli,4 Bedroom,915.0,4.0,1.0,4523.76
1064,Super,Seegehalli,3 BHK,1150.0,2.0,2.0,3534.96
1065,Built-up,Hebbal,4 BHK,3900.0,4.0,2.0,33784.0
1066,Built-up,Yeshwanthpur,5 Bedroom,850.0,4.0,2.0,7416.000000000001
1067,Super,Kanakapura,2 BHK,929.0,2.0,1.0,3790.4
1069,Plot,TC Palaya,3 Bedroom,1350.0,2.0,1.0,6180.0
1070,Super,Vasanthapura,2 BHK,1135.0,2.0,1.0,3273.752
1071,Built-up,Basava Nagar,2 BHK,1405.0,2.0,2.0,5768.0
1072,Plot,Whitefield,2 Bedroom,1200.0,2.0,1.0,3777.2160000000003
1073,Super,Haralur Road,4 BHK,2805.0,4.0,3.0,12689.6
1074,Super,Yeshwanthpur,2 BHK,1161.0,2.0,2.0,5280.192
1075,Super,Kanakpura Road,2 BHK,1290.0,2.0,3.0,6097.6
1076,Super,Yeshwanthpur,3 BHK,2557.0,3.0,2.0,11618.400000000001
1077,Built-up,2nd Block Hrbr Layout,3 BHK,1480.0,3.0,2.0,7416.000000000001
1079,Super,Old Madras Road,3 BHK,1350.0,3.0,0.0,4494.0960000000005
1080,Super,Kadugodi,3 BHK,1580.0,2.0,2.0,5356.0
1081,Super,Banashankari,3 BHK,1470.0,2.0,1.0,7303.936000000001
1082,Super,Ananth Nagar,1 BHK,500.0,1.0,1.0,1153.6000000000001
1083,Super,Sarjapur  Road,2 BHK,1346.0,2.0,1.0,5102.2080000000005
1084,Super,Canara Bank Layout,3 BHK,1600.0,3.0,3.0,7416.000000000001
1085,Super,Naganathapura,2 BHK,720.0,2.0,1.0,9888.0
1087,Plot,Manjunath Nagar,4 Bedroom,1200.0,4.0,0.0,11124.0
1088,Super,Basapura,2 BHK,1200.0,2.0,2.0,2884.0
1089,Built-up,Channasandra,3 BHK,1340.0,2.0,2.0,3982.3920000000003
1090,Plot,Devanahalli,4 Bedroom,6136.0,4.0,2.0,46144.0
1091,Super,Jigani,2 BHK,918.0,2.0,2.0,3955.2000000000003
1092,Plot,Singena Agrahara,3 Bedroom,1500.0,3.0,2.0,9476.0
1093,Super,Yelahanka,2 BHK,1315.0,2.0,2.0,7004.000000000001
1094,Plot,Sector 1 HSR Layout,4 Bedroom,2400.0,5.0,2.0,63860.00000000001
1095,Super,Uttarahalli,3 BHK,1390.0,2.0,2.0,5154.12
1096,Super,Uttarahalli,3 BHK,1330.0,2.0,1.0,4614.400000000001
1097,Built-up,Jalahalli,5 BHK,3100.0,4.0,2.0,21836.0
1098,Super,Mango Garden Layout,3 BHK,1824.0,3.0,3.0,10300.0
1099,Super,7th Phase JP Nagar,3 BHK,1420.0,2.0,2.0,7910.400000000001
1100,Plot,Kacharakanahalli,1 Bedroom,750.0,1.0,0.0,4635.0
1101,Super,Jalahalli East,3 BHK,1260.0,2.0,1.0,4944.0
1102,Super,Hennur Road,3 BHK,1561.0,3.0,2.0,7828.000000000001
1103,Plot,5th Phase JP Nagar,9 Bedroom,812.0,6.0,3.0,13596.000000000002
1104,Super,"Bidere Agarahara, Behind Safal market",2 BHK,1060.0,2.0,2.0,3460.8
1106,Super,Haralur Road,2 BHK,1225.0,2.0,1.0,5552.112
1107,Super,Thanisandra,3 BHK,2144.0,3.0,2.0,11124.0
1108,Plot,Kengeri,7 Bedroom,1200.0,6.0,2.0,11536.0
1109,Super,Electronic City,2 BHK,880.0,2.0,2.0,2389.6000000000004
1110,Super,Hoodi,3 BHK,1639.0,3.0,2.0,9064.0
1111,Built-up,Thanisandra,3 BHK,1240.0,2.0,1.0,5108.8
1112,Super,Kanakpura Road,2 BHK,1500.0,2.0,2.0,5685.6
1113,Super,Haralur Road,2 BHK,1243.0,2.0,1.0,3790.4
1114,Super,Marathahalli,3 BHK,1575.0,3.0,2.0,6427.200000000001
1116,Super,Kambipura,3 BHK,1082.0,2.0,1.0,4614.400000000001
1117,Super,Konanakunte,3 BHK,1637.0,3.0,3.0,6015.200000000001
1118,Super,Kanakpura Road,3 BHK,1665.0,3.0,2.0,7134.192
1119,Super,Electronic City,2 BHK,1265.0,2.0,0.0,4691.032
1120,Super,Electronic City,3 BHK,1691.0,2.0,2.0,8404.800000000001
1121,Super,Thanisandra,2 BHK,1100.0,2.0,1.0,3131.2000000000003
1123,Plot,Gopalkrishna Nagar,3 Bedroom,1500.0,3.0,2.0,5108.8
1124,Built-up,Hosakerehalli,4 BHK,3205.0,5.0,1.0,31312.000000000004
1125,Built-up,Kammanahalli,5 Bedroom,1666.0,4.0,1.0,12360.0
1126,Super,Choodasandra,2 BHK,1115.0,2.0,2.0,4120.0
1127,Super,Mysore Road,2 BHK,1070.0,2.0,1.0,3708.0000000000005
1128,Super,Indira Nagar,2 BHK,1128.0,2.0,2.0,8652.0
1129,Super,Budigere,2 BHK,1162.0,2.0,1.0,4696.8
1130,Super,Sai Gardens,2 BHK,1339.0,2.0,2.0,4532.0
1131,Super,Mahadevpura,2 BHK,1192.0,2.0,2.0,6180.0
1132,Super,Haralur Road,3 BHK,1920.0,3.0,1.0,9476.0
1133,Super,Hennur,2 BHK,1255.0,2.0,1.0,4311.168000000001
1134,Super,Rajaji Nagar,2 BHK,1357.0,2.0,1.0,9476.0
1135,Super,Dodda Kempaiah Layout,3 BHK,1600.0,3.0,2.0,6180.0
1136,Super,Hanumanth Nagar,2 BHK,1225.0,2.0,2.0,4541.064
1137,Plot,Whitefield,4 Bedroom,2400.0,4.0,3.0,16480.0
1138,Super,Kasturi Nagar,3 BHK,1570.0,3.0,3.0,6592.0
1139,Super,Thanisandra,2 BHK,1093.0,2.0,2.0,5768.0
1140,Built-up,Basaveshwara Nagar,3 BHK,1865.0,3.0,3.0,11948.0
1141,Plot,R.T. Nagar,6 Bedroom,1200.0,7.0,3.0,13596.000000000002
1142,Super,Kaikondrahalli,2 BHK,1039.0,2.0,2.0,6592.0
1144,Super,Whitefield,3 BHK,1985.0,3.0,2.0,6180.0
1145,Super,Hosakerehalli,3 BHK,1590.0,3.0,3.0,4037.6000000000004
1146,Plot,Hunasamaranahalli,4 Bedroom,4000.0,4.0,2.0,55620.00000000001
1147,Super,Electronic City Phase II,2 BHK,775.0,2.0,2.0,3131.2000000000003
1148,Super,RWF West Colony,2 BHK,1000.0,2.0,1.0,4120.0
1149,Super,Hebbal Kempapura,3 BHK,1800.0,3.0,2.0,14420.000000000002
1150,Super,Bommasandra,2 BHK,1035.0,2.0,1.0,3378.4
1151,Super,Dasarahalli,3 BHK,1520.0,2.0,1.0,6180.0
1152,Super,Whitefield,2 BHK,1360.0,2.0,1.0,7828.000000000001
1153,Plot,Bileshivale,4 Bedroom,6000.0,5.0,3.0,32960.0
1154,Super,Kodigehaali,2 BHK,1117.0,2.0,2.0,4614.400000000001
1155,Plot,KR Puram,4 Bedroom,1200.0,4.0,3.0,9888.0
1156,Super,EPIP Zone,2 BHK,1330.0,2.0,1.0,7622.000000000001
1157,Super,Marathahalli,3 BHK,1937.0,3.0,2.0,13184.0
1158,Super,Electronic City,2 BHK,1128.0,2.0,1.0,5396.376
1159,Super,Neeladri Nagar,2 BHK,1053.0,2.0,1.0,3708.0000000000005
1160,Super,Panathur,2 BHK,1198.0,2.0,1.0,6344.8
1161,Super,Marathahalli,2 BHK,1152.0,2.0,1.0,4614.400000000001
1162,Super,1st Block Jayanagar,6 BHK,1200.0,6.0,2.0,10300.0
1163,Super,Frazer Town,2 BHK,1625.0,2.0,1.0,6180.0
1164,Super,Kundalahalli,3 BHK,1397.0,3.0,3.0,8652.0
1165,Super,Yeshwanthpur,3 BHK,1523.0,3.0,3.0,14008.000000000002
1166,Super,Kambipura,2 BHK,883.0,2.0,1.0,3708.0000000000005
1167,Super,Kaggalipura,1 BHK,700.0,1.0,0.0,3131.2000000000003
1168,Super,Yelahanka,2 BHK,1170.0,2.0,1.0,5150.0
1169,Super,Kanakpura Road,3 BHK,1200.0,2.0,2.0,3460.8
1170,Built-up,Manayata Tech Park,3 BHK,2400.0,3.0,2.0,14008.000000000002
1171,Super,Kullappa Colony,2 BHK,1480.0,2.0,2.0,5356.0
1172,Super,Akshaya Nagar,3 BHK,1897.0,3.0,2.0,9888.0
1173,Super,Rachenahalli,2 BHK,996.0,2.0,1.0,5520.8
1174,Super,Haralur Road,3 BHK,1875.0,3.0,2.0,9064.0
1175,Super,Williams Town,3 BHK,1500.0,2.0,2.0,8075.200000000001
1176,Super,Jaya Nagar East,3 BHK,3095.0,3.0,3.0,28840.000000000004
1177,Super,Ambalipura,3 BHK,1390.0,2.0,1.0,14420.000000000002
1179,Super,Yelahanka,1 BHK,697.0,1.0,0.0,3708.0000000000005
1180,Built-up,Sarjapur  Road,1 BHK,710.0,1.0,1.0,2224.8
1181,Carpet,Iggalur,2 BHK,910.0,2.0,1.0,2513.2000000000003
1182,Built-up,Sompura,3 BHK,1025.0,2.0,1.0,3955.2000000000003
1184,Plot,Harlur,4 Bedroom,1200.0,4.0,2.0,20105.600000000002
1185,Super,Horamavu Agara,3 BHK,1453.0,2.0,1.0,3829.952
1186,Super,Sarjapur  Road,4 BHK,3335.0,5.0,2.0,24720.0
1188,Super,Bellandur,2 BHK,1281.0,2.0,1.0,6097.6
1189,Built-up,Cooke Town,1 BHK,565.0,1.0,1.0,2884.0
1190,Built-up,Varthur,2 BHK,1024.0,2.0,2.0,3460.8
1191,Built-up,Electronic City,3 BHK,1620.0,3.0,2.0,5108.8
1192,Super,Whitefield,2 BHK,1254.0,2.0,2.0,3296.0
1193,Built-up,Banashankari,3 BHK,1300.0,2.0,2.0,6180.0
1194,Built-up,Doddakallasandra,2 BHK,1233.0,2.0,2.0,3543.2000000000003
1195,Plot,Chokkanahalli,1 Bedroom,1200.0,1.0,1.0,2307.2000000000003
1196,Super,Hosur Road,3 BHK,1510.0,2.0,1.0,8652.0
1197,Super,Kaggalipura,2 BHK,950.0,2.0,1.0,5356.0
1198,Super,Battarahalli,3 BHK,1945.0,3.0,2.0,8027.408
1199,Super,Uttarahalli,2 BHK,1008.0,2.0,3.0,3708.0000000000005
1200,Super,Thanisandra,3 BHK,1265.0,2.0,1.0,6509.6
1201,Super,Hebbal,3 BHK,1255.0,2.0,1.0,6400.832000000001
1202,Built-up,Kanakpura Road,4 BHK,2689.0,6.0,2.0,18128.0
1203,Built-up,Yelenahalli,2 BHK,1200.0,2.0,2.0,3804.4080000000004
1204,Super,Sarjapur  Road,3 BHK,1403.0,3.0,3.0,4254.312000000001
1205,Super,Kudlu Gate,3 BHK,1535.0,3.0,2.0,7004.000000000001
1206,Plot,Chikkaballapur,3 Bedroom,1500.0,3.0,3.0,8240.0
1207,Super,Chamrajpet,3 BHK,1475.0,2.0,2.0,9888.0
1208,Super,Uttarahalli,3 BHK,1390.0,2.0,2.0,4982.728
1209,Super,Raja Rajeshwari Nagar,3 BHK,1278.0,2.0,1.0,4429.8240000000005
1210,Super,VGP Layout,2 BHK,1133.0,2.0,2.0,4532.0
1211,Plot,Classic Paradise Layout,5 Bedroom,1560.0,5.0,1.0,11948.0
1212,Plot,Byappanahalli,5 Bedroom,2900.0,5.0,2.0,7416.000000000001
1213,Super,Kogilu,2 BHK,1170.0,2.0,1.0,4283.976000000001
1214,Plot,Sahakara Nagar,3 Bedroom,1200.0,3.0,3.0,16480.0
1215,Super,Whitefield,3 BHK,1697.0,3.0,2.0,7810.696000000001
1216,Super,Thanisandra,3 BHK,1651.0,3.0,3.0,8024.112
1217,Super,Vasanth nagar,3 BHK,1560.0,3.0,1.0,15491.2
1218,Super,Hennur Road,3 BHK,1192.0,2.0,1.0,4944.0
1219,Built-up,OMBR Layout,2 BHK,1078.0,2.0,3.0,5356.0
1220,Plot,Kumaraswami Layout,7 Bedroom,800.0,7.0,3.0,8652.0
1221,Super,Kasavanhalli,2 BHK,1349.0,2.0,2.0,6427.200000000001
1223,Super,7th Phase JP Nagar,3 BHK,1680.0,3.0,2.0,9888.0
1224,Super,Rayasandra,3 BHK,1314.0,2.0,2.0,5191.200000000001
1225,Super,Garudachar Palya,2 BHK,1060.0,2.0,1.0,4012.8800000000006
1226,Built-up,Kalyan nagar,2 BHK,820.0,2.0,0.0,3213.6000000000004
1227,Plot,Whitefield,4 Bedroom,5000.0,4.0,3.0,32960.0
1228,Super,BEML Layout,3 BHK,2000.0,3.0,2.0,7004.000000000001
1229,Super,Kalkere,2 BHK,856.0,2.0,3.0,3296.0
1230,Super,Rajaji Nagar,3 BHK,1621.0,4.0,0.0,10712.0
1231,Plot,ITPL,3 Bedroom,1200.0,3.0,1.0,5636.160000000001
1232,Super,Bannerghatta Road,3 BHK,1484.0,3.0,2.0,4326.0
1233,Plot,T.C. Palya,4 Bedroom,600.0,5.0,2.0,4944.0
1234,Plot,Siddapura,4 Bedroom,14000.0,3.0,2.0,65920.0
1235,Super,Yelahanka New Town,1 BHK,500.0,1.0,1.0,1648.0
1236,Super,Makali,1 BHK,485.0,1.0,1.0,1236.0
1237,Super,7th Phase JP Nagar,2 BHK,1050.0,2.0,1.0,3460.8
1238,Super,Uttarahalli,3 BHK,1617.0,3.0,3.0,5494.432000000001
1239,Built-up,Electronic City,2 BHK,550.0,1.0,1.0,1318.4
1240,Built-up,RWF West Colony,3 BHK,1384.0,3.0,2.0,5131.872
1241,Super,Devanahalli,2 BHK,1408.0,2.0,2.0,7004.000000000001
1242,Built-up,Uttarahalli,2 BHK,1150.0,2.0,1.0,4037.6000000000004
1243,Super,Akshaya Nagar,3 BHK,1410.0,2.0,2.0,6180.0
1244,Built-up,Kaggadasapura,4 BHK,2150.0,4.0,1.0,8240.0
1245,Super,Koramangala,3 BHK,2292.0,4.0,1.0,22660.0
1246,Built-up,Malleshwaram,3 BHK,2006.0,3.0,2.0,24472.800000000003
1247,Built-up,Maragondanahalli,3 BHK,1508.0,3.0,2.0,5788.6
1248,Built-up,Ramamurthy Nagar,2 BHK,1040.0,2.0,2.0,4120.0
1249,Plot,TC Palaya,2 Bedroom,1240.0,2.0,1.0,4944.0
1250,Super,Kudlu Gate,3 BHK,1535.0,3.0,1.0,6427.200000000001
1251,Built-up,Lakshminarayana Pura,2 BHK,1180.0,2.0,2.0,6180.0
1252,Built-up,Abbigere,6 Bedroom,2200.0,6.0,2.0,5603.200000000001
1253,Super,Bannerghatta Road,2 BHK,1400.0,2.0,2.0,6427.200000000001
1254,Super,Raja Rajeshwari Nagar,1 BHK,500.0,1.0,1.0,2060.0
1255,Plot,Whitefield,4 Bedroom,4800.0,4.0,3.0,43260.0
1256,Super,Sarjapur  Road,3 BHK,1984.0,4.0,1.0,12030.400000000001
1257,Plot,Whitefield,4 Bedroom,3000.0,5.0,3.0,20600.0
1258,Super,Garudachar Palya,3 BHK,1960.0,3.0,3.0,13184.0
1259,Super,Sarjapur  Road,2 BHK,1035.0,2.0,1.0,3708.0000000000005
1260,Built-up,Vibuthipura,4 Bedroom,2150.0,4.0,1.0,6592.0
1261,Built-up,Whitefield,3 BHK,1700.0,3.0,2.0,9476.0
1262,Super,Hosakerehalli,4 BHK,3024.0,5.0,1.0,20435.2
1263,Super,Tumkur Road,3 BHK,1586.0,3.0,1.0,8240.0
1264,Built-up,Hennur,3 Bedroom,2264.0,2.0,2.0,12772.0
